CustomerID,SignupDate,Plan,MonthlyFee,AcquisitionChannel,MarketingCost,Churn,ChurnDate,count of yes ,count of no,total customer,churn rate,total revenue,arpu,lost due to churn,cltv
50128,26-12-2024,Enterprise,7999,Referral,1044,No,,,,,,,,,
50129,30-06-2024,Basic,999,Social Media,812,No,,,,,,,,,
50130,04-09-2024,Basic,999,Social Media,1213,Yes,05-04-2025 00:00,,,,,,,,
50131,06-04-2024,Basic,999,Paid Ads,314,Yes,29-10-2024 00:00,,,,,,,,
50132,04-10-2024,Pro,2499,Paid Ads,1750,Yes,08-09-2025 00:00,,,,,,,,
50133,05-01-2023,Enterprise,7999,Organic,1442,No,,,,,,,,,
50134,06-08-2023,Basic,999,Referral,703,No,,,,,,,,,
50135,17-05-2024,Basic,999,Social Media,937,No,,,,,,,,,
50136,02-02-2024,Pro,2499,Referral,1821,No,,,,,,,,,
50137,28-01-2024,Basic,999,Organic,871,No,,,,,,,,,
50138,26-07-2023,Basic,999,Referral,769,No,,,,,,,,,
50139,15-01-2023,Basic,999,Social Media,1180,No,,,,,,,,,
50140,07-07-2024,Basic,999,Paid Ads,658,No,,,,,,,,,
50141,05-04-2024,Basic,999,Referral,1525,No,,,,,,,,,
50142,21-11-2024,Basic,999,Social Media,321,No,,,,,,,,,
50143,28-07-2024,Basic,999,Organic,574,No,,,,,,,,,
50144,29-08-2023,Pro,2499,Social Media,1231,No,,,,,,,,,
50145,17-07-2024,Basic,999,Referral,962,No,,,,,,,,,
50146,06-04-2023,Pro,2499,Social Media,911,Yes,18-09-2023 00:00,,,,,,,,
50147,29-04-2024,Basic,999,Social Media,279,Yes,20-06-2024 00:00,,,,,,,,
50148,11-02-2024,Pro,2499,Referral,276,Yes,02-11-2024 00:00,,,,,,,,
50149,19-08-2023,Basic,999,Referral,586,No,,,,,,,,,
50150,16-10-2024,Pro,2499,Organic,513,No,,,,,,,,,
50151,20-06-2023,Basic,999,Social Media,791,No,,,,,,,,,
50152,24-06-2024,Enterprise,7999,Paid Ads,1160,No,,,,,,,,,
50153,05-02-2023,Basic,999,Referral,674,Yes,06-12-2023 00:00,,,,,,,,
50154,08-06-2024,Basic,999,Social Media,367,Yes,09-09-2024 00:00,,,,,,,,
50155,09-06-2023,Enterprise,7999,Paid Ads,884,No,,,,,,,,,
50156,29-11-2024,Pro,2499,Paid Ads,1925,No,,,,,,,,,
50157,31-08-2023,Basic,999,Social Media,1023,No,,,,,,,,,
50158,27-03-2023,Enterprise,7999,Social Media,487,No,,,,,,,,,
50159,31-07-2024,Basic,999,Social Media,453,Yes,11-03-2025 00:00,,,,,,,,
50160,12-11-2024,Basic,999,Paid Ads,913,Yes,21-01-2025 00:00,,,,,,,,
50161,10-07-2024,Enterprise,7999,Social Media,1393,No,,,,,,,,,
50162,27-07-2024,Basic,999,Referral,1123,No,,,,,,,,,
50163,07-10-2024,Enterprise,7999,Paid Ads,368,No,,,,,,,,,
50164,28-01-2023,Basic,999,Referral,1565,No,,,,,,,,,
50165,11-09-2024,Pro,2499,Referral,1428,No,,,,,,,,,
50166,09-07-2024,Pro,2499,Social Media,1369,No,,,,,,,,,
50167,06-12-2023,Enterprise,7999,Referral,1301,No,,,,,,,,,
50168,27-11-2023,Pro,2499,Social Media,1190,No,,,,,,,,,
50169,01-10-2024,Basic,999,Paid Ads,376,No,,,,,,,,,
50170,20-05-2024,Pro,2499,Referral,1331,Yes,28-03-2025 00:00,,,,,,,,
50171,14-12-2023,Basic,999,Social Media,406,No,,,,,,,,,
50172,17-04-2024,Pro,2499,Organic,1673,No,,,,,,,,,
50173,19-08-2023,Enterprise,7999,Social Media,730,No,,,,,,,,,
50174,09-07-2023,Basic,999,Organic,637,No,,,,,,,,,
50175,13-08-2023,Pro,2499,Social Media,617,No,,,,,,,,,
50176,20-01-2024,Basic,999,Organic,1397,Yes,18-07-2024 00:00,,,,,,,,
50177,12-01-2024,Basic,999,Referral,1356,No,,,,,,,,,
50178,10-10-2023,Basic,999,Organic,1237,No,,,,,,,,,
50179,24-09-2024,Pro,2499,Referral,233,No,,,,,,,,,
50180,19-09-2024,Basic,999,Referral,1548,Yes,05-09-2025 00:00,,,,,,,,
50181,16-09-2023,Pro,2499,Social Media,924,No,,,,,,,,,
50182,25-12-2023,Basic,999,Referral,1813,No,,,,,,,,,
50183,10-12-2024,Pro,2499,Paid Ads,1148,No,,,,,,,,,
50184,31-03-2024,Basic,999,Organic,1683,Yes,12-03-2025 00:00,,,,,,,,
50185,15-02-2024,Pro,2499,Social Media,1403,No,,,,,,,,,
50186,10-10-2024,Basic,999,Referral,1466,Yes,13-05-2025 00:00,,,,,,,,
50187,14-11-2023,Pro,2499,Organic,912,No,,,,,,,,,
50188,07-11-2024,Basic,999,Organic,1934,Yes,28-09-2025 00:00,,,,,,,,
50189,13-08-2023,Pro,2499,Paid Ads,171,No,,,,,,,,,
50190,22-08-2023,Basic,999,Organic,1117,No,,,,,,,,,
50191,14-11-2024,Pro,2499,Social Media,1051,No,,,,,,,,,
50192,25-10-2024,Basic,999,Social Media,1324,Yes,02-03-2025 00:00,,,,,,,,
50193,09-01-2024,Pro,2499,Referral,1449,Yes,14-03-2024 00:00,,,,,,,,
50194,02-11-2024,Basic,999,Referral,132,No,,,,,,,,,
50195,30-08-2024,Basic,999,Social Media,196,No,,,,,,,,,
50196,16-04-2024,Basic,999,Organic,1680,No,,,,,,,,,
50197,21-08-2023,Basic,999,Organic,362,No,,,,,,,,,
50198,22-11-2024,Basic,999,Paid Ads,973,No,,,,,,,,,
50199,23-04-2023,Enterprise,7999,Referral,1013,No,,,,,,,,,
50200,11-05-2024,Enterprise,7999,Organic,1193,No,,,,,,,,,
50201,17-03-2024,Pro,2499,Organic,1936,Yes,09-05-2024 00:00,,,,,,,,
50202,17-07-2024,Basic,999,Referral,392,No,,,,,,,,,
50203,25-09-2023,Basic,999,Social Media,1016,No,,,,,,,,,
50204,24-05-2024,Pro,2499,Organic,829,No,,,,,,,,,
50205,21-01-2024,Basic,999,Paid Ads,1330,No,,,,,,,,,
50206,22-01-2024,Enterprise,7999,Organic,271,Yes,16-06-2024 00:00,,,,,,,,
50207,23-04-2023,Basic,999,Organic,857,Yes,18-10-2023 00:00,,,,,,,,
50208,04-09-2024,Enterprise,7999,Paid Ads,1025,No,,,,,,,,,
50209,16-09-2024,Basic,999,Social Media,1518,Yes,25-11-2024 00:00,,,,,,,,
50210,22-03-2023,Pro,2499,Paid Ads,1379,No,,,,,,,,,
50211,29-11-2024,Basic,999,Paid Ads,1387,Yes,27-04-2025 00:00,,,,,,,,
50212,23-04-2023,Enterprise,7999,Referral,1000,Yes,13-07-2023 00:00,,,,,,,,
50213,02-01-2023,Basic,999,Organic,1387,Yes,14-08-2023 00:00,,,,,,,,
50214,03-10-2024,Pro,2499,Social Media,616,Yes,24-03-2025 00:00,,,,,,,,
50215,08-08-2023,Pro,2499,Organic,1133,No,,,,,,,,,
50216,19-07-2024,Basic,999,Social Media,370,No,,,,,,,,,
50217,13-08-2023,Basic,999,Paid Ads,841,Yes,01-05-2024 00:00,,,,,,,,
50218,20-01-2024,Basic,999,Referral,1435,Yes,09-01-2025 00:00,,,,,,,,
50219,07-02-2024,Basic,999,Paid Ads,1493,No,,,,,,,,,
50220,29-09-2024,Basic,999,Organic,666,No,,,,,,,,,
50221,10-05-2023,Basic,999,Referral,652,No,,,,,,,,,
50222,22-02-2023,Basic,999,Referral,749,Yes,26-09-2023 00:00,,,,,,,,
50223,14-11-2024,Pro,2499,Organic,490,No,,,,,,,,,
50224,30-12-2024,Pro,2499,Social Media,1058,No,,,,,,,,,
50225,02-11-2024,Basic,999,Referral,1238,No,,,,,,,,,
50226,10-12-2024,Enterprise,7999,Social Media,674,No,,,,,,,,,
50227,20-02-2024,Enterprise,7999,Social Media,443,No,,,,,,,,,
50228,04-09-2023,Pro,2499,Social Media,1533,Yes,26-12-2023 00:00,,,,,,,,
50229,14-03-2024,Basic,999,Referral,1669,Yes,19-10-2024 00:00,,,,,,,,
50230,22-07-2023,Basic,999,Paid Ads,1501,Yes,18-02-2024 00:00,,,,,,,,
50231,03-07-2023,Pro,2499,Referral,1887,No,,,,,,,,,
50232,03-05-2023,Pro,2499,Paid Ads,555,Yes,17-09-2023 00:00,,,,,,,,
50233,05-02-2024,Basic,999,Referral,1546,No,,,,,,,,,
50234,21-10-2023,Pro,2499,Paid Ads,543,No,,,,,,,,,
50235,07-10-2023,Basic,999,Paid Ads,296,Yes,21-03-2024 00:00,,,,,,,,
50236,01-09-2024,Basic,999,Referral,967,No,,,,,,,,,
50237,17-07-2023,Pro,2499,Social Media,462,No,,,,,,,,,
50238,25-05-2024,Pro,2499,Social Media,1533,Yes,21-05-2025 00:00,,,,,,,,
50239,24-05-2023,Basic,999,Paid Ads,1887,Yes,29-07-2023 00:00,,,,,,,,
50240,31-08-2024,Pro,2499,Organic,1697,No,,,,,,,,,
50241,20-07-2023,Enterprise,7999,Organic,1517,Yes,25-06-2024 00:00,,,,,,,,
50242,04-05-2023,Pro,2499,Referral,1860,No,,,,,,,,,
50243,06-07-2023,Pro,2499,Referral,1632,Yes,25-06-2024 00:00,,,,,,,,
50244,22-11-2023,Basic,999,Referral,967,No,,,,,,,,,
50245,08-04-2024,Basic,999,Organic,665,No,,,,,,,,,
50246,15-12-2023,Basic,999,Social Media,770,Yes,10-04-2024 00:00,,,,,,,,
50247,21-10-2024,Pro,2499,Referral,1417,Yes,20-08-2025 00:00,,,,,,,,
50248,07-02-2024,Pro,2499,Referral,124,Yes,11-07-2024 00:00,,,,,,,,
50249,12-12-2023,Basic,999,Social Media,336,No,,,,,,,,,
50250,25-05-2024,Basic,999,Paid Ads,560,No,,,,,,,,,
50251,27-05-2023,Basic,999,Referral,1444,Yes,17-09-2023 00:00,,,,,,,,
50252,28-05-2023,Basic,999,Organic,199,No,,,,,,,,,
50253,11-12-2024,Enterprise,7999,Organic,839,No,,,,,,,,,
50254,03-05-2024,Pro,2499,Referral,1813,No,,,,,,,,,
50255,01-10-2024,Basic,999,Organic,507,No,,,,,,,,,
50256,04-07-2024,Pro,2499,Social Media,1278,No,,,,,,,,,
50257,04-12-2023,Pro,2499,Paid Ads,1077,No,,,,,,,,,
50258,02-10-2024,Pro,2499,Paid Ads,1557,No,,,,,,,,,
50259,17-04-2024,Basic,999,Referral,850,Yes,08-01-2025 00:00,,,,,,,,
50260,31-05-2023,Basic,999,Referral,1557,Yes,10-01-2024 00:00,,,,,,,,
50261,19-02-2024,Basic,999,Paid Ads,242,No,,,,,,,,,
50262,25-10-2023,Pro,2499,Paid Ads,628,No,,,,,,,,,
50263,02-09-2024,Pro,2499,Referral,1408,No,,,,,,,,,
50264,20-09-2023,Pro,2499,Organic,1128,No,,,,,,,,,
50265,24-05-2023,Basic,999,Referral,622,No,,,,,,,,,
50266,12-12-2023,Basic,999,Social Media,819,Yes,28-05-2024 00:00,,,,,,,,
50267,15-09-2024,Basic,999,Referral,1559,Yes,07-09-2025 00:00,,,,,,,,
50268,25-07-2024,Enterprise,7999,Referral,517,Yes,05-06-2025 00:00,,,,,,,,
50269,02-01-2023,Basic,999,Referral,1204,No,,,,,,,,,
50270,31-10-2023,Basic,999,Referral,644,Yes,21-03-2024 00:00,,,,,,,,
50271,11-09-2023,Enterprise,7999,Referral,1109,Yes,25-03-2024 00:00,,,,,,,,
50272,13-10-2024,Pro,2499,Referral,916,No,,,,,,,,,
50273,28-03-2024,Pro,2499,Organic,1500,Yes,25-05-2024 00:00,,,,,,,,
50274,06-02-2023,Basic,999,Referral,258,No,,,,,,,,,
50275,09-06-2023,Pro,2499,Paid Ads,1909,No,,,,,,,,,
50276,09-01-2023,Basic,999,Referral,726,Yes,05-06-2023 00:00,,,,,,,,
50277,21-08-2023,Pro,2499,Organic,1340,Yes,06-10-2023 00:00,,,,,,,,
50278,09-04-2023,Basic,999,Social Media,872,No,,,,,,,,,
50279,20-10-2024,Basic,999,Paid Ads,1793,No,,,,,,,,,
50280,27-07-2023,Pro,2499,Referral,1168,No,,,,,,,,,
50281,11-05-2023,Pro,2499,Referral,1755,No,,,,,,,,,
50282,08-02-2024,Pro,2499,Paid Ads,1338,No,,,,,,,,,
50283,01-06-2023,Basic,999,Referral,1634,Yes,09-12-2023 00:00,,,,,,,,
50284,23-02-2023,Basic,999,Organic,227,No,,,,,,,,,
50285,30-04-2023,Pro,2499,Referral,1377,Yes,21-12-2023 00:00,,,,,,,,
50286,03-11-2024,Pro,2499,Social Media,1673,No,,,,,,,,,
50287,19-09-2024,Enterprise,7999,Organic,976,Yes,05-03-2025 00:00,,,,,,,,
50288,09-08-2024,Pro,2499,Referral,1845,No,,,,,,,,,
50289,16-09-2024,Basic,999,Social Media,1475,No,,,,,,,,,
50290,24-02-2024,Enterprise,7999,Paid Ads,705,Yes,27-04-2024 00:00,,,,,,,,
50291,26-02-2024,Basic,999,Organic,640,Yes,13-07-2024 00:00,,,,,,,,
50292,14-04-2023,Basic,999,Referral,263,No,,,,,,,,,
50293,11-09-2023,Basic,999,Referral,748,Yes,27-07-2024 00:00,,,,,,,,
50294,15-08-2023,Basic,999,Paid Ads,1658,No,,,,,,,,,
50295,22-04-2023,Pro,2499,Paid Ads,230,No,,,,,,,,,
50296,24-05-2024,Pro,2499,Organic,1721,No,,,,,,,,,
50297,17-04-2024,Pro,2499,Organic,795,No,,,,,,,,,
50298,09-04-2023,Basic,999,Organic,603,No,,,,,,,,,
50299,02-06-2023,Basic,999,Referral,1547,Yes,10-12-2023 00:00,,,,,,,,
50300,04-12-2023,Basic,999,Referral,1872,No,,,,,,,,,
50301,06-12-2024,Pro,2499,Organic,283,No,,,,,,,,,
50302,12-06-2023,Basic,999,Referral,925,No,,,,,,,,,
50303,20-12-2024,Pro,2499,Paid Ads,770,No,,,,,,,,,
50304,11-11-2024,Basic,999,Social Media,1081,No,,,,,,,,,
50305,10-06-2023,Basic,999,Referral,1646,No,,,,,,,,,
50306,02-08-2024,Pro,2499,Organic,1122,No,,,,,,,,,
50307,02-02-2024,Pro,2499,Referral,653,No,,,,,,,,,
50308,04-10-2023,Basic,999,Paid Ads,1358,No,,,,,,,,,
50309,18-05-2024,Pro,2499,Organic,230,No,,,,,,,,,
50310,27-01-2024,Enterprise,7999,Social Media,796,Yes,13-06-2024 00:00,,,,,,,,
50311,15-05-2023,Enterprise,7999,Organic,1137,No,,,,,,,,,
50312,14-07-2023,Pro,2499,Organic,913,No,,,,,,,,,
50313,05-02-2024,Pro,2499,Organic,1889,No,,,,,,,,,
50314,01-10-2024,Basic,999,Referral,758,No,,,,,,,,,
50315,02-02-2023,Pro,2499,Social Media,479,No,,,,,,,,,
50316,18-11-2024,Basic,999,Paid Ads,1183,No,,,,,,,,,
50317,04-04-2024,Enterprise,7999,Referral,1026,No,,,,,,,,,
50318,14-04-2024,Basic,999,Social Media,1415,No,,,,,,,,,
50319,10-01-2024,Basic,999,Social Media,1283,Yes,09-01-2025 00:00,,,,,,,,
50320,22-01-2023,Pro,2499,Referral,1570,No,,,,,,,,,
50321,31-10-2024,Basic,999,Organic,637,No,,,,,,,,,
50322,07-02-2023,Basic,999,Social Media,676,No,,,,,,,,,
50323,18-08-2023,Pro,2499,Paid Ads,1509,No,,,,,,,,,
50324,31-12-2023,Pro,2499,Referral,1193,No,,,,,,,,,
50325,16-07-2024,Pro,2499,Social Media,1505,No,,,,,,,,,
50326,13-03-2024,Basic,999,Paid Ads,784,No,,,,,,,,,
50327,10-10-2023,Pro,2499,Paid Ads,1348,No,,,,,,,,,
50328,27-01-2023,Basic,999,Paid Ads,1631,Yes,08-11-2023 00:00,,,,,,,,
50329,14-08-2023,Basic,999,Paid Ads,1788,Yes,02-04-2024 00:00,,,,,,,,
50330,04-10-2023,Pro,2499,Referral,139,No,,,,,,,,,
50331,31-08-2024,Pro,2499,Paid Ads,1269,Yes,25-08-2025 00:00,,,,,,,,
50332,11-10-2023,Basic,999,Referral,465,No,,,,,,,,,
50333,25-04-2024,Pro,2499,Paid Ads,1733,Yes,14-01-2025 00:00,,,,,,,,
50334,28-03-2024,Basic,999,Paid Ads,347,No,,,,,,,,,
50335,20-10-2024,Basic,999,Referral,111,No,,,,,,,,,
50336,30-05-2024,Basic,999,Organic,1659,No,,,,,,,,,
50337,30-06-2024,Enterprise,7999,Social Media,836,Yes,11-10-2024 00:00,,,,,,,,
50338,11-07-2023,Pro,2499,Social Media,609,No,,,,,,,,,
50339,18-02-2023,Pro,2499,Referral,1368,Yes,02-08-2023 00:00,,,,,,,,
50340,26-05-2024,Pro,2499,Paid Ads,270,No,,,,,,,,,
50341,17-01-2023,Pro,2499,Referral,1155,No,,,,,,,,,
50342,21-06-2023,Basic,999,Paid Ads,1749,No,,,,,,,,,
50343,08-08-2023,Basic,999,Referral,820,No,,,,,,,,,
50344,07-06-2023,Basic,999,Social Media,1094,No,,,,,,,,,
50345,21-04-2024,Pro,2499,Referral,914,Yes,31-07-2024 00:00,,,,,,,,
50346,15-02-2023,Enterprise,7999,Social Media,528,No,,,,,,,,,
50347,08-01-2024,Basic,999,Social Media,1158,No,,,,,,,,,
50348,01-06-2024,Basic,999,Social Media,304,Yes,04-11-2024 00:00,,,,,,,,
50349,09-04-2023,Basic,999,Referral,989,No,,,,,,,,,
50350,06-02-2023,Pro,2499,Organic,1507,Yes,20-12-2023 00:00,,,,,,,,
50351,07-10-2023,Basic,999,Referral,1004,Yes,07-08-2024 00:00,,,,,,,,
50352,15-12-2023,Basic,999,Referral,1389,No,,,,,,,,,
50353,11-05-2024,Pro,2499,Organic,1700,No,,,,,,,,,
50354,29-10-2023,Pro,2499,Organic,1566,No,,,,,,,,,
